variable,name,value,year,month,Model
CST,cst_90_180,0.00982580241972408,1993,5,GLORYS
CST,cst_0_180,0.0112229179571392,1993,5,GLORYS
CST,cst_0_90,0.012423087145371,1993,5,GLORYS
CST,cst_30_130,0.0122588388581986,1993,5,GLORYS
CST,cst_180_549,0.00171889248066928,1993,5,GLORYS
CST,cst_90_180,0.000946080683484307,1993,6,GLORYS
CST,cst_0_180,0.0087114562599605,1993,6,GLORYS
CST,cst_0_90,0.016308890876991,1993,6,GLORYS
CST,cst_30_130,0.00999890327083274,1993,6,GLORYS
CST,cst_180_549,-0.00925202499409031,1993,6,GLORYS
CST,cst_90_180,-0.0194944989429919,1993,7,GLORYS
CST,cst_0_180,-0.00907034966057346,1993,7,GLORYS
CST,cst_0_90,0.00100670554684595,1993,7,GLORYS
CST,cst_30_130,-0.00826669377058283,1993,7,GLORYS
CST,cst_180_549,-0.0352267229406264,1993,7,GLORYS
CST,cst_90_180,-0.0135399787490155,1993,8,GLORYS
CST,cst_0_180,-0.00294491648463816,1993,8,GLORYS
CST,cst_0_90,0.00745872920410485,1993,8,GLORYS
CST,cst_30_130,0.000236242514786588,1993,8,GLORYS
CST,cst_180_549,-0.0169174323644583,1993,8,GLORYS
CST,cst_90_180,-0.0127249574581013,1993,9,GLORYS
CST,cst_0_180,-0.003408609100112,1993,9,GLORYS
CST,cst_0_90,0.00563627344749209,1993,9,GLORYS
CST,cst_30_130,-0.000859498659090076,1993,9,GLORYS
CST,cst_180_549,-0.0197470252476973,1993,9,GLORYS
CST,cst_90_180,-0.0163025619072277,1993,10,GLORYS
CST,cst_0_180,-0.0131909597360499,1993,10,GLORYS
CST,cst_0_90,-0.0100050293283938,1993,10,GLORYS
CST,cst_30_130,-0.0126245933799407,1993,10,GLORYS
CST,cst_180_549,-0.0188000461774997,1993,10,GLORYS
CST,cst_90_180,-0.00581388285421012,1993,11,GLORYS
CST,cst_0_180,-0.00249393202239589,1993,11,GLORYS
CST,cst_0_90,0.000618818932282691,1993,11,GLORYS
CST,cst_30_130,-0.00293674728450356,1993,11,GLORYS
CST,cst_180_549,-0.0102553173052729,1993,11,GLORYS
CST,cst_90_180,-0.00754218552741867,1993,12,GLORYS
CST,cst_0_180,-0.00526523929174857,1993,12,GLORYS
CST,cst_0_90,-0.00313956675966755,1993,12,GLORYS
CST,cst_30_130,-0.00408511970218078,1993,12,GLORYS
CST,cst_180_549,-0.0073865638040081,1993,12,GLORYS
CST,cst_90_180,-0.00144840611557466,1994,1,GLORYS
CST,cst_0_180,0.00178158665263497,1994,1,GLORYS
CST,cst_0_90,0.00481592107672373,1994,1,GLORYS
CST,cst_30_130,0.00290107983002715,1994,1,GLORYS
CST,cst_180_549,-0.00156538104291574,1994,1,GLORYS
CST,cst_90_180,0.0122899532807643,1994,2,GLORYS
CST,cst_0_180,0.0134577965144732,1994,2,GLORYS
CST,cst_0_90,0.0144889766122746,1994,2,GLORYS
CST,cst_30_130,0.0146679144267059,1994,2,GLORYS
CST,cst_180_549,0.0207185988195983,1994,2,GLORYS
CST,cst_90_180,0.0103716765038146,1994,3,GLORYS
CST,cst_0_180,0.0124264386152162,1994,3,GLORYS
CST,cst_0_90,0.0142873744848187,1994,3,GLORYS
CST,cst_30_130,0.0134791442671445,1994,3,GLORYS
CST,cst_180_549,0.0104650512293926,1994,3,GLORYS
CST,cst_90_180,0.0274397851257917,1994,4,GLORYS
CST,cst_0_180,0.0287128496266229,1994,4,GLORYS
CST,cst_0_90,0.0296787867872177,1994,4,GLORYS
CST,cst_30_130,0.0295406448610529,1994,4,GLORYS
CST,cst_180_549,0.0340174630220056,1994,4,GLORYS
CST,cst_90_180,0.00704847335719543,1994,5,GLORYS
CST,cst_0_180,0.0141123869439378,1994,5,GLORYS
CST,cst_0_90,0.0208320595628401,1994,5,GLORYS
CST,cst_30_130,0.0161490924676302,1994,5,GLORYS
CST,cst_180_549,-0.000413251156849397,1994,5,GLORYS
CST,cst_90_180,0.000671145364685881,1994,6,GLORYS
CST,cst_0_180,0.00855861402678515,1994,6,GLORYS
CST,cst_0_90,0.015986464851002,1994,6,GLORYS
CST,cst_30_130,0.00888228358701867,1994,6,GLORYS
CST,cst_180_549,-0.012251510523782,1994,6,GLORYS
CST,cst_90_180,-0.0136584972323071,1994,7,GLORYS
CST,cst_0_180,-0.00506115117237112,1994,7,GLORYS
CST,cst_0_90,0.00313489590969583,1994,7,GLORYS
CST,cst_30_130,-0.00335991770857353,1994,7,GLORYS
CST,cst_180_549,-0.0374704947593079,1994,7,GLORYS
CST,cst_90_180,-0.00909960108518358,1994,8,GLORYS
CST,cst_0_180,0.000621872961795243,1994,8,GLORYS
CST,cst_0_90,0.00986401087262999,1994,8,GLORYS
CST,cst_30_130,0.002745306572291,1994,8,GLORYS
CST,cst_180_549,-0.0188689289331928,1994,8,GLORYS
CST,cst_90_180,-0.00558676836529793,1994,9,GLORYS
CST,cst_0_180,0.00093492746823146,1994,9,GLORYS
CST,cst_0_90,0.00692721395291121,1994,9,GLORYS
CST,cst_30_130,0.00259083822142594,1994,9,GLORYS
CST,cst_180_549,-0.0220403490882608,1994,9,GLORYS
CST,cst_90_180,0.00375124780836749,1994,10,GLORYS
CST,cst_0_180,0.00731221626634147,1994,10,GLORYS
CST,cst_0_90,0.010702565820494,1994,10,GLORYS
CST,cst_30_130,0.00700892666021271,1994,10,GLORYS
