year,month,MLD_90_180,MLD_0_180,MLD_0_90,MLD_30_130,MLD_180_550,T_90_180,T_0_180,T_0_90,T_30_130,T_180_550,XV_90_180,XV_0_180,XV_0_90,XV_30_130,XV_180_550,YV_90_180,YV_0_180,YV_0_90,YV_30_130,YV_180_550
1997,3,9.427328,8.801339,8.107307,8.59217,10.895345,9.06048,9.0699835,9.087721,9.106187,8.551754,0.0027448973,0.0017555059,-0.0003861907,0.0018685065,0.0039999625,-0.028913626,-0.018283283,0.00472779,-0.012653784,-0.03859667
1997,4,7.2443137,7.068618,6.8738265,7.0835423,7.8591204,8.85972,8.98357,9.214728,9.066616,8.39608,-0.00033773427,-0.0011569548,-0.0029302873,-0.0023028422,0.0030937241,-0.08403894,-0.070147485,-0.040077224,-0.06127587,-0.0903011
1997,5,6.000993,5.818547,5.616269,5.765526,6.4153814,9.156259,9.387947,9.820386,9.526116,8.591481,-0.004654316,-0.0030186896,0.0005218853,-0.0024213425,0.0004250185,-0.05650175,-0.049837373,-0.03541125,-0.047421444,-0.040678896
1997,6,5.6818786,5.5794377,5.465862,5.5735393,5.8777623,9.285739,9.566972,10.09189,9.681822,8.959744,-0.001098964,-0.0010457499,-0.00093055825,-0.0028678274,0.0008250985,-0.09635008,-0.08477239,-0.05971064,-0.07927471,-0.07855921
1997,7,5.6872716,5.5967445,5.496378,5.5740256,5.933089,8.765872,8.883317,9.102521,8.92651,8.775351,-0.010089567,-0.0071313954,-0.0007279742,-0.007914137,-0.0031014306,-0.09939578,-0.09304745,-0.07930555,-0.09058543,-0.08651456
1997,8,5.6458645,5.571274,5.488574,5.534339,6.0620146,9.103487,9.216405,9.427171,9.265783,9.052599,-0.0035136563,-0.0044745426,-0.0065545347,-0.007073201,-0.0009484948,-0.01490214,-0.009460781,0.0023178896,-0.006632503,0.00019372498
1997,9,6.8552547,6.6453547,6.41264,6.5376816,7.4648533,10.677731,11.162917,12.06852,11.4182,9.794292,-0.00045699842,-0.00046517205,-0.000482865,-0.0008195187,0.0012790053,0.005796249,0.012657531,0.027509872,0.014274654,0.01972116
1997,10,11.237333,10.494678,9.671297,10.332327,12.6235,11.090879,11.570505,12.4657345,11.851864,10.075163,-0.005583891,-0.004796249,-0.0030912694,-0.0038812398,-0.0013540953,0.0444858,0.047124222,0.052835528,0.048827287,0.052138098
1997,11,14.5366955,12.586256,10.423812,11.803736,19.334202,11.422085,11.668336,12.127967,11.865398,10.546793,-0.0015556373,-0.0022743565,-0.0038301386,-0.0012752645,-0.0015508748,0.1288785,0.12133486,0.105005406,0.117084995,0.11540874
1997,12,22.405628,19.1997,15.6453,17.67315,31.528542,11.962829,11.954631,11.939329,12.032292,11.037229,-0.0034845723,-0.0023914287,-2.5146457e-05,4.3031763e-05,-0.007429537,0.09688109,0.08629599,0.06338285,0.07557833,0.10286209
1998,1,21.134455,17.377901,13.21303,15.534806,39.150978,11.803698,11.7056,11.5225,11.700124,11.1773,-0.00040852305,0.00038968353,0.0021175311,0.00456755,0.00046678475,0.14811395,0.13583346,0.109250285,0.1259243,0.15587163
1998,2,14.949671,12.2483015,9.253303,10.943924,28.091017,11.579651,11.528717,11.433646,11.533646,11.074027,0.0061930474,0.0051592286,0.0029213664,0.0061552525,-0.0035212955,0.10282756,0.09782383,0.08699246,0.09489502,0.09834574
1998,3,9.398335,8.731814,7.9928455,8.56549,10.599557,10.94882,11.021765,11.157914,11.110331,10.146574,-0.0020166324,-0.0022439617,-0.0027360555,-0.0032383518,-0.0010807968,-0.02831863,-0.022253232,-0.009123713,-0.019696852,-0.04005766
1998,4,8.156551,7.873054,7.558741,7.842616,8.769531,10.376171,10.527451,10.80981,10.6564865,9.600143,-0.002319211,-0.00212589,-0.0017074137,-0.002787902,9.651716e-05,-0.075067945,-0.06446009,-0.041497733,-0.0579524,-0.085278906
1998,5,6.447735,6.3501945,6.2420516,6.4346485,6.6903095,10.188972,10.378569,10.732457,10.515403,9.429854,-0.0018780822,-0.0018422655,-0.0017647345,-0.0024464224,0.0014763313,-0.059605572,-0.05200503,-0.035552464,-0.047816243,-0.058975387
