hours_since_20110102,year,month,day,temp_surface_40_47N_0_300km,temp_bottom_40_47N_50_1200m,temp_bottom_40_47N_300_500m,temp_bottom_40_47N_0_250m,temp_300_500m_40_47N_300_500m,temp_300_825m_40_47N_500m_300km,temp_1000_1200m_40_47N_1000m_300km,mld_40_47N_500m_300km,ualong_1000_1200m_40_47N_1000m_300km,ualong_surface_40_47N_0_300km,ualong_bottom_40_47N_0_250m,ucross_300_825m_40_47N_500m_300km,ucross_1000_1200m_40_47N_1000m_300km,ucross_surface_40_47N_0_300km,ucross_bottom_40_47N_0_250m
59784,2017,10,28,14.235,6.618,6.2863,8.7348,6.4301,5.0427,3.4531,20.405,-0.00036,-0.00428,0.12586,-0.00415,-0.00496,-0.02145,-0.02124
59808,2017,10,29,14.265,6.4051,6.2243,8.2865,6.3218,5.0366,3.4514,20.667,0.00256,-0.04275,0.08896,-0.00476,-0.00553,-0.0071,-0.01112
59832,2017,10,30,14.197,6.3938,6.2188,8.2328,6.3005,5.0373,3.4524,20.83,0.00579,-0.04912,0.03545,-0.00392,-0.00339,-0.06104,0.00295
59856,2017,10,31,14.075,6.353,6.1967,8.1166,6.2744,5.0369,3.4539,21.464,0.00882,-0.03363,-0.00858,-0.00383,-0.0066,-0.08356,0.01166
59880,2017,11,1,13.951,6.3177,6.1758,8.0011,6.2606,5.0397,3.4562,22.416,0.01175,-0.04973,-0.02133,-0.00673,-0.00663,-0.06799,0.01404
59904,2017,11,2,13.966,6.3425,6.2058,7.9514,6.2953,5.0419,3.4583,23.01,0.00879,-0.05538,-0.00839,-0.00501,-0.00571,-0.0245,0.00544
59928,2017,11,3,13.849,6.3412,6.1987,7.9338,6.3044,5.0421,3.4585,23.571,0.01192,-0.08257,-0.01486,-0.00295,-0.00457,0.01011,0.00792
59952,2017,11,4,13.679,6.3315,6.1852,7.9112,6.3036,5.0389,3.4562,23.935,0.01077,-0.06233,-0.03695,-0.00205,-0.00169,-0.00489,0.011
59976,2017,11,5,13.514,6.3431,6.1962,7.903,6.3332,5.0396,3.4549,24.585,0.0091,-0.07277,-0.00424,-0.00031,-0.00179,0.01161,-0.0005
60000,2017,11,6,13.569,6.4394,6.2513,8.1159,6.4123,5.0413,3.454,24.453,0.00606,-0.07098,0.0672,-0.00229,-0.0015,-0.01579,-0.01964
60024,2017,11,7,13.451,6.493,6.2897,8.2302,6.4435,5.0406,3.4518,23.994,0.00098,0.02159,0.07233,0.00094,0.00043,0.02731,-0.01842
60048,2017,11,8,13.478,6.546,6.3093,8.3735,6.4691,5.0406,3.4497,25.431,-0.00129,0.07678,0.0716,0.00081,-2e-05,0.11488,-0.02554
60072,2017,11,9,13.507,6.5956,6.3217,8.5,6.4894,5.0409,3.4472,25.104,-0.00187,0.07703,0.06376,0.00359,0.00107,0.14282,-0.02098
60096,2017,11,10,13.269,6.4875,6.3131,8.2898,6.4619,5.0471,3.4454,25.314,0.00015,-0.01613,0.12576,-0.00212,0.00027,0.09583,-0.04296
60120,2017,11,11,13.26,6.5886,6.3716,8.4405,6.4942,5.0491,3.4451,24.554,-0.00364,0.02298,0.15858,0.00241,0.00052,0.04237,-0.02995
60144,2017,11,12,13.259,6.6987,6.4304,8.6361,6.5305,5.0528,3.4461,24.147,-0.00082,0.04672,0.16757,-0.00112,-0.00225,0.08612,-0.02749
60168,2017,11,13,13.275,6.7768,6.4532,8.7996,6.5421,5.0522,3.4458,23.746,0.00068,0.03516,0.12298,0.00181,0.00179,0.14912,-0.0249
60192,2017,11,14,13.141,6.7923,6.4236,8.8426,6.507,5.0452,3.4445,23.244,-9e-05,-0.00188,0.10174,0.00095,-0.00018,0.17315,-0.02884
60216,2017,11,15,13.07,6.8502,6.3713,9.011,6.47,5.041,3.4424,23.698,-0.00148,0.01141,0.06769,0.00153,-0.00019,0.16445,-0.01176
60240,2017,11,16,12.99,6.8554,6.3207,9.072,6.4406,5.0401,3.4425,23.755,0.00039,-0.03056,0.02352,-0.00169,-0.00168,0.10729,-0.01199
60264,2017,11,17,12.863,6.841,6.2817,9.0683,6.4139,5.0396,3.4434,23.959,0.0028,-0.04261,0.01396,-0.00111,-0.00303,0.03751,-0.00247
60288,2017,11,18,12.82,6.7536,6.2794,8.8457,6.4013,5.0381,3.4458,23.751,0.0029,-0.037,0.02198,-0.00456,-0.00422,0.01037,-0.00647
60312,2017,11,19,12.74,6.7648,6.3041,8.8523,6.4191,5.0408,3.4468,24.468,0.00256,0.04165,0.03623,-0.00207,-0.00307,0.04234,-0.00818
60336,2017,11,20,12.722,6.7988,6.3275,8.9032,6.4414,5.0433,3.4484,25.079,0.00456,0.03342,0.0322,-0.00188,-0.00343,0.11327,-0.01545
60360,2017,11,21,12.767,6.8702,6.3611,9.0161,6.4781,5.0441,3.4479,24.642,0.00677,0.07175,0.06268,-0.00371,-0.00215,0.10192,-0.02271
60384,2017,11,22,12.572,6.7249,6.308,8.7163,6.4121,5.0413,3.4469,24.01,0.00796,0.09988,0.06322,0.00037,-0.00306,0.1362,-0.01469
60408,2017,11,23,12.67,6.7632,6.3236,8.7808,6.4263,5.0434,3.4472,23.592,0.00557,0.05188,0.06203,-0.00478,-0.00269,0.1172,-0.00769
60432,2017,11,24,12.71,6.8016,6.3615,8.8142,6.4599,5.0499,3.4503,23.405,0.0111,-0.00216,0.06208,-0.00385,-0.00645,0.06202,-0.01364
60456,2017,11,25,12.637,6.855,6.419,8.8708,6.5038,5.0572,3.4542,23.745,0.01322,0.04042,0.08278,-0.00505,-0.00421,0.0214,-0.00984
60480,2017,11,26,12.84,6.681,6.3814,8.502,6.4463,5.0548,3.4546,23.569,0.01285,0.05673,0.07646,-0.00394,-0.00464,0.07456,-0.00696
60504,2017,11,27,12.793,6.6821,6.3934,8.4936,6.457,5.0566,3.4553,23.609,0.01089,0.00435,0.02732,-0.00449,-0.00348,0.04311,-0.0007
60528,2017,11,28,12.708,6.6763,6.3998,8.4732,6.4677,5.0583,3.4558,23.813,0.01428,0.0143,0.01004,-0.00221,-0.00426,0.03146,0.00435
60552,2017,11,29,12.641,6.6808,6.4282,8.4566,6.4968,5.0621,3.4564,24.124,0.01458,-0.00607,0.019,-0.00357,-0.00231,0.0364,-0.00385
60576,2017,11,30,12.587,6.578,6.3816,8.2543,6.4493,5.0631,3.4566,24.603,0.01048,-0.00976,0.02281,-0.00208,-0.00329,0.00109,-0.00196
60600,2017,12,1,12.51,6.5769,6.3796,8.2501,6.4498,5.0646,3.4562,25.135,0.01265,0.00464,0.01346,-0.00318,-0.00288,0.0224,0.00051
60624,2017,12,2,12.436,6.5877,6.3953,8.2565,6.4697,5.0705,3.459,25.494,0.01307,0.00165,0.01382,-0.00312,-0.00364,0.03253,-0.00085
60648,2017,12,3,12.333,6.622,6.4286,8.2915,6.5039,5.0759,3.4612,25.83,0.01585,-0.01421,0.04261,-0.00273,-0.00344,0.01338,-0.00772
60672,2017,12,4,12.456,6.3993,6.3068,7.9153,6.3669,5.0722,3.4605,26.081,0.01628,-0.0409,0.02282,-0.00228,-0.001,-0.04157,0.00574
60696,2017,12,5,12.356,6.3639,6.2749,7.8561,6.3515,5.07,3.4584,26.984,0.0116,0.01119,-0.0328,-0.00146,-0.00104,-0.05269,0.02064
60720,2017,12,6,12.28,6.3259,6.2608,7.7659,6.3545,5.0731,3.459,28.063,0.01221,0.00505,-0.03648,-0.00126,-0.00321,-0.02867,0.0192
60744,2017,12,7,12.235,6.3352,6.2944,7.7273,6.397,5.0782,3.4609,28.943,0.01374,0.02355,0.01856,-0.0053,-0.00296,-0.01562,-0.0016
60768,2017,12,8,12.338,6.245,6.2415,7.6032,6.3333,5.0835,3.461,29.741,0.01597,0.02994,0.06707,-0.00395,-0.0018,-0.00117,-0.01636
60792,2017,12,9,12.316,6.2989,6.2713,7.7017,6.3578,5.0866,3.4621,30.212,0.0102,0.04411,0.07025,-0.00146,-0.00228,0.01888,-0.01872
60816,2017,12,10,12.295,6.3211,6.2757,7.7534,6.3649,5.0885,3.462,30.508,0.01164,0.01707,0.03881,-0.00203,-0.00089,0.02068,-0.00567
60840,2017,12,11,12.268,6.3137,6.2589,7.7604,6.3662,5.0843,3.4583,30.745,0.00748,0.0033,0.00884,0.00168,0.00324,0.00462,0.00014
60864,2017,12,12,12.223,6.3712,6.249,7.9173,6.3831,5.0801,3.4559,30.576,0.00754,-0.01999,0.00256,-0.00213,0.00035,0.00174,0.00486
60888,2017,12,13,12.189,6.3749,6.2506,7.9135,6.3987,5.0812,3.4552,30.681,0.00754,0.00633,0.01844,-0.00254,0.00013,-0.01323,-0.00311
60912,2017,12,14,12.152,6.4515,6.3127,7.9953,6.4522,5.092,3.4612,31.163,0.00896,-0.00618,0.1069,-0.00377,-0.00619,-0.01184,-0.0213
60936,2017,12,15,12.103,6.583,6.408,8.195,6.5164,5.1025,3.4663,31.609,0.01034,-0.00729,0.18,-0.00497,-0.0014,-0.04805,-0.03219
60960,2017,12,16,11.928,6.099,6.1165,7.3765,6.2186,5.1088,3.4679,32.483,0.01123,-0.04327,0.13246,-0.0027,-0.00186,-0.05489,-0.02012
60984,2017,12,17,11.849,6.1166,6.1056,7.4,6.2023,5.1107,3.4692,33.263,0.01194,-0.01719,0.06429,-0.00114,0.00014,-0.02177,0.00291
61008,2017,12,18,11.795,6.0926,6.0757,7.3625,6.1865,5.1116,3.4699,34.241,0.01117,-0.04837,0.00922,0.00086,0.0003,0.02423,0.00126
61032,2017,12,19,11.753,6.0516,6.0424,7.3077,6.1703,5.1081,3.4677,34.772,0.01243,-0.03996,-0.03303,0.00122,0.00116,0.02944,0.0168
61056,2017,12,20,11.791,6.0173,5.9961,7.3169,6.1353,5.1032,3.4686,34.218,0.01341,-0.07092,-0.01154,-0.00343,-0.0023,0.02629,0.00414
61080,2017,12,21,11.663,6.039,6.0185,7.3244,6.1549,5.1085,3.4722,34.538,0.01659,-0.05579,0.03669,-0.00426,-0.0028,-0.0301,-0.00441
61104,2017,12,22,11.57,6.0787,6.0363,7.3808,6.1766,5.1133,3.4756,34.968,0.01897,-0.0022,0.05452,-0.00194,-0.00481,-0.0025,-0.01329
61128,2017,12,23,11.535,6.1232,6.0563,7.4533,6.1968,5.1162,3.4769,35.435,0.02152,-0.00308,0.05204,-0.00451,-0.00103,0.00614,-0.01105
61152,2017,12,24,11.47,6.1096,6.0609,7.3822,6.1864,5.1202,3.4816,34.991,0.01914,0.02995,0.10391,-0.00493,-0.00657,0.00907,-0.01919
61176,2017,12,25,11.426,6.2318,6.1128,7.5759,6.2215,5.1301,3.4867,35.052,0.02406,0.0388,0.17439,-0.00665,-0.00492,0.00398,-0.03455
61200,2017,12,26,11.42,6.3233,6.1285,7.7483,6.2342,5.1349,3.4892,35.302,0.02072,0.02932,0.13601,-0.00081,-0.00095,-0.00182,-0.02149
61224,2017,12,27,11.397,6.3309,6.1091,7.7838,6.2182,5.1337,3.4869,35.401,0.01655,0.00843,0.04336,0.00305,0.00169,0.00708,-0.0017
61248,2017,12,28,11.213,6.2912,6.072,7.7493,6.2023,5.1207,3.4805,36.067,0.01016,-0.01176,-0.01689,0.00029,0.0035,0.02388,0.00925
61272,2017,12,29,11.21,6.2459,6.0373,7.6985,6.189,5.115,3.4751,36.073,0.00433,-0.00318,-0.04881,0.00596,0.00462,0.06296,0.01242
61296,2017,12,30,11.198,6.2303,6.0258,7.6871,6.2003,5.1131,3.4717,35.573,0.00382,-0.03778,-0.02453,-0.00025,0.00039,0.05666,0.00355
61320,2017,12,31,11.132,6.2654,6.051,7.749,6.2357,5.1167,3.4718,35.538,0.00125,-0.02976,0.04067,-2e-05,0.00071,-0.00831,-0.01209
61344,2018,1,1,11.362,6.355,6.0657,7.9569,6.2386,5.1044,3.4705,33.284,0.00405,0.01082,0.11997,-0.00458,-0.00343,-0.00889,-0.03236
61368,2018,1,2,11.338,6.4528,6.1215,8.1198,6.2791,5.1096,3.4725,33.733,0.00693,0.02859,0.11762,-0.00247,-0.00225,0.00103,-0.01916
61392,2018,1,3,11.33,6.5625,6.1954,8.2707,6.3375,5.1188,3.4767,34.104,0.00963,0.02553,0.16596,-0.00617,-0.00553,-0.00241,-0.031
61416,2018,1,4,11.331,6.6746,6.2739,8.4231,6.3894,5.1272,3.4808,34.223,0.0106,0.06762,0.17898,-0.00468,-0.00394,0.00016,-0.02149
61440,2018,1,5,11.252,6.4612,6.1734,8.0373,6.2525,5.1246,3.4835,32.964,0.01284,0.06823,0.15772,-0.00562,-0.00608,0.04806,-0.02476
61464,2018,1,6,11.249,6.5339,6.1851,8.1656,6.2605,5.1262,3.485,32.442,0.01274,0.02886,0.13736,-0.00288,-0.00046,0.01786,-0.01858
61488,2018,1,7,11.189,6.547,6.1636,8.2112,6.2532,5.1259,3.4848,32.849,0.0084,0.01081,0.06801,-0.00154,-0.00285,0.01903,-0.00762
61512,2018,1,8,11.154,6.5415,6.1507,8.2082,6.2556,5.1268,3.4859,33.734,0.01129,0.03033,0.03881,-0.00224,-0.00258,0.03794,-0.00334
61536,2018,1,9,11.32,6.5507,6.154,8.2208,6.2551,5.1298,3.4876,33.955,0.00842,-0.00143,0.05685,-0.00419,-0.00233,0.02209,-0.01293
61560,2018,1,10,11.238,6.6088,6.1855,8.3069,6.2871,5.1345,3.4905,34.038,0.00753,0.00458,0.08203,-0.00283,-0.00325,0.00122,-0.01417
61584,2018,1,11,11.284,6.7021,6.24,8.4497,6.332,5.1403,3.4941,34.011,0.00993,0.04007,0.11935,-0.00567,-0.00524,0.07047,-0.02626
61608,2018,1,12,11.349,6.8234,6.293,8.6592,6.3795,5.1437,3.496,33.496,0.01357,0.03568,0.16139,-0.00043,-0.0008,0.08766,-0.03349
61632,2018,1,13,11.268,6.7806,6.2484,8.5924,6.3477,5.1376,3.4945,33.111,0.01055,0.01787,0.0871,-0.00243,-0.00139,0.03175,-0.01207
61656,2018,1,14,11.276,6.7882,6.2349,8.6349,6.3523,5.1376,3.4939,33.293,0.00942,0.03223,0.03053,-0.00082,-0.00202,0.01411,-0.00505
61680,2018,1,15,11.297,6.8152,6.2461,8.6909,6.3789,5.1411,3.4948,33.522,0.00897,0.07239,0.04304,-0.0023,-0.00154,0.05011,-0.00969
61704,2018,1,16,11.318,6.8508,6.2588,8.7635,6.4051,5.1437,3.4953,33.358,0.00775,0.05599,0.05202,-9e-05,-0.00065,0.07529,-0.01354
61728,2018,1,17,11.259,6.8852,6.2906,8.8252,6.4269,5.1397,3.4957,32.764,0.00753,0.06851,0.07807,-0.00238,-0.00167,0.0891,-0.02027
61752,2018,1,18,11.28,6.9955,6.3504,9.0051,6.4795,5.1457,3.4982,33.404,0.00753,0.09951,0.1373,-0.00129,-0.00145,0.1429,-0.03177
61776,2018,1,19,11.246,7.135,6.4364,9.2334,6.5465,5.1532,3.5012,34.41,0.0048,0.02754,0.19303,-0.00112,-0.00103,0.12448,-0.03595
61800,2018,1,20,11.156,7.215,6.4536,9.3924,6.5591,5.1544,3.5016,35.227,0.00423,0.00697,0.1599,0.00334,0.00165,0.06151,-0.0126
61824,2018,1,21,11.152,7.0648,6.3726,9.1454,6.4779,5.139,3.4977,34.974,0.00341,0.00838,0.07124,0.00012,0.00245,0.04312,-0.00747
61848,2018,1,22,11.05,7.0412,6.3451,9.1201,6.4658,5.1393,3.4972,35.914,0.00381,0.01151,0.01752,0.00317,0.00074,0.03906,-0.00059
61872,2018,1,23,10.974,7.0634,6.351,9.1578,6.4809,5.1424,3.4984,36.756,0.00139,0.04107,0.04298,0.00174,0.00278,0.06116,-0.01022
61896,2018,1,24,10.956,7.0793,6.3552,9.1845,6.4946,5.1418,3.4974,36.965,-0.00025,0.06273,0.05667,0.00304,0.00205,0.10164,-0.00943
61920,2018,1,25,11.06,6.9243,6.265,8.9341,6.3953,5.1085,3.492,34.291,0.00583,-0.00192,0.06602,0.00109,0.00355,0.09387,-0.02214
61944,2018,1,26,10.951,7.0235,6.3013,9.1136,6.4274,5.1115,3.4929,34.665,-0.00018,0.00815,0.10309,0.0025,0.00183,0.0748,-0.02588
61968,2018,1,27,10.873,7.1381,6.3721,9.2824,6.4895,5.1169,3.4954,35.113,0.00471,0.05275,0.1651,-0.00071,-0.00143,0.08386,-0.02889
61992,2018,1,28,10.87,7.2493,6.4542,9.4478,6.5447,5.1235,3.4988,34.935,0.00447,0.09211,0.1989,0.00135,0.00232,0.08483,-0.02386
62016,2018,1,29,10.882,7.0893,6.3847,9.1495,6.4519,5.1189,3.4977,35.179,0.00226,0.04615,0.14274,0.00355,0.00351,0.06442,-0.0002
62040,2018,1,30,10.885,7.003,6.3394,9.0305,6.4213,5.1146,3.4947,35.177,-0.00153,0.03384,-0.0194,0.00415,0.00476,0.04494,0.01298
62064,2018,1,31,10.868,6.9333,6.3121,8.9183,6.4184,5.1156,3.4946,35.196,0.00215,0.01257,-0.03839,0.00241,0.00138,0.04628,0.01234
62088,2018,2,1,10.845,6.9036,6.316,8.8567,6.4305,5.1192,3.4961,35.435,0.0038,0.00024,-0.01136,0.00334,0.0035,0.02,0.00537
62112,2018,2,2,10.537,6.7718,6.2744,8.5951,6.373,5.1132,3.496,34.447,-0.00053,-0.0067,0.00214,0.00243,0.00251,0.01573,-0.00288
62136,2018,2,3,10.565,6.7445,6.2492,8.5566,6.3572,5.1139,3.4964,34.442,-0.0014,-0.02383,-0.01618,0.00299,0.00229,0.00689,0.00886
62160,2018,2,4,10.594,6.6993,6.2377,8.4835,6.3567,5.116,3.4974,34.322,0.00865,-0.01662,-0.02348,-1e-05,0.00048,-0.01621,0.01079
62184,2018,2,5,10.599,6.6951,6.2613,8.4519,6.378,5.1225,3.5018,34.272,0.00898,-0.02675,0.00135,0.00062,-0.00176,-0.02359,0.00459
62208,2018,2,6,10.751,6.9995,6.3346,9.1258,6.4875,5.1453,3.5067,37.554,0.00696,0.0004,0.01756,-0.00246,-0.00238,-0.04062,0.01679
62232,2018,2,7,10.745,6.9875,6.3815,9.0614,6.5499,5.1505,3.5103,37.941,0.01049,-0.00504,-0.01097,-0.00108,-0.0016,-0.02103,0.00483
62256,2018,2,8,10.761,6.9693,6.4095,8.997,6.5515,5.1571,3.5136,38.122,0.01451,0.01902,0.00148,-0.00345,-0.00254,-0.0344,0.00902
62280,2018,2,9,10.776,6.9962,6.5064,8.9764,6.6352,5.1659,3.5179,38.101,0.01643,0.00908,0.04783,-5e-05,-0.00178,-0.02246,-0.0048
62304,2018,2,10,10.953,6.7912,6.4619,8.5109,6.535,5.1722,3.5194,43.406,0.01331,-0.02223,0.07426,-0.00157,0.00088,-0.07741,-0.01626
62328,2018,2,11,10.893,6.7795,6.4538,8.4826,6.5145,5.1767,3.5222,44.361,0.01354,0.00908,0.01503,0.00199,-0.00141,-0.04106,0.01413
62352,2018,2,12,10.826,6.7377,6.4356,8.4041,6.5102,5.1786,3.5224,45.199,0.0147,-0.03743,-0.01166,0.00254,0.00373,-0.02947,0.01222
62376,2018,2,13,10.76,6.6537,6.3709,8.2732,6.4679,5.1758,3.5208,45.941,0.01174,-0.03823,-0.0707,0.00687,0.00346,-0.05052,0.03509
62400,2018,2,14,10.846,6.185,6.1168,7.4441,6.169,5.1621,3.5142,47.846,0.01179,-0.08244,-0.12816,0.00149,0.00507,0.00252,0.02962
62424,2018,2,15,10.792,6.0797,6.003,7.2798,6.1173,5.1629,3.5136,48.383,0.00552,-0.08141,-0.09253,0.00818,0.00264,-0.0234,0.04065
62448,2018,2,16,10.74,6.0602,6.0081,7.2098,6.1431,5.1667,3.5158,49.002,0.00921,-0.06546,-0.02123,-0.00238,0.00035,0.00346,0.00701
62472,2018,2,17,10.699,6.0987,6.0495,7.2663,6.1772,5.1734,3.5184,49.511,0.00682,-0.05715,0.08523,0.00489,0.00313,0.01624,-0.02658
62496,2018,2,18,10.531,6.246,5.938,7.651,6.1773,5.1718,3.5188,53.842,0.00694,-0.07646,0.17097,0.00292,0.00165,0.04326,-0.04546
62520,2018,2,19,10.454,6.2888,5.9824,7.7516,6.1909,5.1699,3.5171,54.994,0.00911,-0.13265,0.06534,0.00446,0.00663,-0.02148,-0.00044
62544,2018,2,20,10.343,6.3146,6.0221,7.7771,6.2178,5.1679,3.5161,56.334,0.00874,-0.05481,0.05316,0.00724,0.00362,-0.02573,-0.00867
62568,2018,2,21,10.262,6.3792,6.1236,7.8264,6.2774,5.175,3.5201,57.213,0.01228,-0.01466,0.08642,0.00077,0.00119,-0.00102,-0.01029
62592,2018,2,22,10.192,6.4554,6.202,7.9,6.3084,5.1878,3.5219,58.106,0.00767,-0.03992,0.12728,0.00275,0.00508,-0.01334,-0.0283
62616,2018,2,23,10.135,6.5123,6.2575,7.9728,6.3266,5.1855,3.5206,58.735,0.00332,-0.04581,0.06403,0.00812,0.00488,-0.02341,0.00483
62640,2018,2,24,10.08,6.5081,6.2653,7.9473,6.3392,5.1831,3.5182,59.687,0.00279,-0.05189,-0.0226,0.00551,0.00628,0.02222,0.01694
62664,2018,2,25,10.042,6.4846,6.2604,7.9031,6.3497,5.1796,3.5155,60.095,-0.00243,-0.09059,-0.03781,0.00852,0.00799,0.04795,0.01531
62688,2018,2,26,9.9836,6.4192,6.1852,7.8431,6.2583,5.1609,3.5084,58.8,-0.00167,-0.10057,-0.06298,0.0065,0.00585,0.03629,0.01549
62712,2018,2,27,9.9177,6.3616,6.1549,7.7606,6.2484,5.1586,3.5067,58.964,-0.00542,-0.09043,-0.05752,0.00604,0.0074,-0.00626,0.02571
62736,2018,2,28,9.8651,6.3496,6.1536,7.7213,6.2639,5.1621,3.5093,59.695,-0.00359,-0.03604,0.01122,0.00202,-0.00135,0.02224,-0.00374
62760,2018,3,1,9.836,6.4109,6.2173,7.7904,6.3118,5.1692,3.5139,59.546,0.00481,-0.02028,0.09949,0.00039,0.00235,0.06884,-0.03115
62784,2018,3,2,9.8668,7.0663,6.3276,9.1017,6.4986,5.1746,3.518,58.495,0.0026,0.0184,0.077,0.00432,0.00153,0.04931,-0.00045
62808,2018,3,3,9.8429,7.1812,6.4233,9.2441,6.578,5.1786,3.5223,57.708,0.00834,0.00215,0.08708,-0.00036,-0.0002,0.0532,-0.02862
62832,2018,3,4,9.8352,7.2104,6.462,9.2479,6.5809,5.1794,3.5222,57.23,0.00419,0.00664,0.06184,0.00385,0.00341,-0.00289,-0.00229
62856,2018,3,5,9.8671,7.2349,6.5012,9.2565,6.6115,5.1789,3.5218,56.578,0.00353,0.03289,0.02065,0.00197,0.00045,0.01739,-0.00213
62880,2018,3,6,9.7408,6.6959,6.2584,8.3265,6.3239,5.1619,3.5203,53.866,0.0032,0.00467,0.06103,0.00094,0.00046,0.01862,-0.01748
62904,2018,3,7,9.7576,6.6969,6.2712,8.2985,6.3361,5.1651,3.523,54.277,0.00456,0.03619,0.00819,-0.00027,-0.0018,-0.02394,0.01222
62928,2018,3,8,9.7837,6.7326,6.3454,8.3247,6.3816,5.1688,3.5249,54.097,0.00753,0.06012,0.04657,0.00036,0.00075,0.0536,-0.01885
62952,2018,3,9,9.8442,6.769,6.4092,8.3517,6.4359,5.1723,3.5261,53.471,0.00724,0.029,0.0457,0.00256,-0.00106,0.05926,-0.00125
62976,2018,3,10,9.8893,6.7155,6.4039,8.2633,6.4325,5.1588,3.5249,44.909,0.01168,0.00504,0.02368,-0.0007,0.00088,0.01503,0.00268
63000,2018,3,11,9.9898,6.6983,6.3963,8.2453,6.4471,5.1593,3.5242,44.097,0.00756,0.03764,-0.0145,0.00413,0.00224,0.01108,0.01506
63024,2018,3,12,10.027,6.6755,6.3989,8.2227,6.4636,5.1609,3.5238,43.05,0.00796,0.04817,-0.01953,0.002,-0.00095,0.0483,0.0106
63048,2018,3,13,10.076,6.6848,6.4167,8.2346,6.496,5.165,3.5253,40.706,0.00588,0.07073,0.01509,0.00049,0.00214,0.07194,-0.00527
63072,2018,3,14,10.209,6.5781,6.3941,8.0574,6.4638,5.1665,3.5257,37.077,0.00598,0.0134,0.0502,0.00199,-0.00067,0.07641,-0.0133
63096,2018,3,15,10.188,6.6243,6.4444,8.1076,6.4984,5.172,3.5289,36.563,0.00584,-0.00659,0.09406,-0.00054,0.00058,0.04018,-0.02569
63120,2018,3,16,10.164,6.6794,6.495,8.1609,6.5449,5.1758,3.5304,36.907,0.00865,0.00514,0.13983,0.00292,-0.00033,0.01622,-0.02887
63144,2018,3,17,10.146,6.6984,6.5232,8.1918,6.5762,5.1739,3.5279,37.025,0.00777,-0.02052,0.07881,0.00536,0.00537,-0.01328,-0.01076
63168,2018,3,18,10.097,6.5355,6.4419,7.9223,6.5027,5.1522,3.5213,34.339,0.00269,-0.02647,-0.00547,0.00466,0.00398,-0.00565,0.00577
63192,2018,3,19,10.144,6.517,6.4393,7.8975,6.5153,5.1518,3.5197,34.288,0.00101,0.01071,0.00087,0.00306,0.00206,0.01422,0.00619
63216,2018,3,20,10.217,6.5431,6.4928,7.9041,6.5612,5.1606,3.5237,34.058,0.00355,0.01992,0.0802,-0.00052,-0.00183,-0.0134,-0.01782
63240,2018,3,21,10.248,6.6209,6.5998,7.9661,6.6371,5.1722,3.5308,33.611,0.00783,0.06251,0.18615,-0.00077,-0.00168,-0.04267,-0.03395
63264,2018,3,22,10.187,6.5538,6.6287,7.777,6.6299,5.176,3.5354,35.118,0.01036,0.0452,0.2423,-0.0024,-0.00057,0.01296,-0.03523
63288,2018,3,23,10.103,6.5911,6.6627,7.8217,6.6601,5.1792,3.5368,35.004,0.00865,0.02353,0.16501,0.0032,0.00148,0.09033,-0.02623
63312,2018,3,24,10.002,6.6397,6.7112,7.8752,6.7047,5.1848,3.5401,36.419,0.01224,0.02786,0.14911,0.00109,0.00013,0.11257,-0.03059
63336,2018,3,25,9.9486,6.7111,6.765,7.9771,6.7577,5.1889,3.5411,36.717,0.00957,0.03327,0.17432,0.00243,0.00404,0.02332,-0.02673
63360,2018,3,26,9.9608,6.5652,6.6737,7.7542,6.6804,5.1834,3.5343,39.656,0.00306,0.01919,0.06994,0.00934,0.00884,0.01725,-0.00032
63384,2018,3,27,10.016,6.4848,6.5728,7.7016,6.6185,5.1738,3.527,39.566,-0.00532,-0.03209,-0.09021,0.01003,0.00832,0.02946,0.03282
63408,2018,3,28,10.068,6.3961,6.473,7.6074,6.5684,5.165,3.52,39.021,-0.0066,-0.09374,-0.14237,0.0084,0.00793,-0.02586,0.04727
63432,2018,3,29,10.106,6.3085,6.3704,7.5166,6.5171,5.1586,3.5146,38.794,-0.01007,-0.09454,-0.14799,0.00619,0.00649,-0.07647,0.04864
63456,2018,3,30,10.211,6.1581,6.3226,7.2421,6.4629,5.1449,3.5164,34.207,-0.00237,-0.06429,-0.02367,0.001,-0.00078,-0.05995,0.00951
63480,2018,3,31,10.257,6.2076,6.3665,7.2862,6.4862,5.1563,3.5238,34.234,0.00088,-0.02375,0.09381,-0.00412,-0.00247,-0.05771,-0.0161
63504,2018,4,1,10.262,6.2964,6.452,7.3943,6.5373,5.1689,3.5328,34.416,0.00636,-0.01074,0.15791,-0.00252,-0.00425,-0.03745,-0.03782
63528,2018,4,2,10.244,6.3526,6.4973,7.4598,6.5532,5.1762,3.537,35.044,0.00863,-0.0204,0.10425,0.00266,0.00123,-0.03294,-0.01108
63552,2018,4,3,10.228,5.9522,6.3387,6.738,6.3751,5.166,3.5337,35.184,0.00603,-0.04392,0.01719,0.00104,0.00259,-0.0422,0.00251
63576,2018,4,4,10.244,5.9343,6.3256,6.6983,6.3676,5.1658,3.5322,35.388,0.0024,-0.00231,-0.02817,0.00343,0.00223,0.0032,0.02073
63600,2018,4,5,10.288,5.9298,6.3291,6.6651,6.3816,5.1686,3.5327,34.66,0.00307,0.0072,-0.02243,0.00156,0.0008,0.06651,0.00688
